Record_Type,Original_Entry,Year,05/01,12/01,19/01,26/01,02/02,09/02,16/02,23/02,01/03,08/03,15/03,22/03,29/03,05/04,12/04,19/04,26/04,03/05,10/05,17/05,24/05,31/05,07/06,14/06,21/06,28/06,04/07,NA,NA,NA,NA,NA,NA,NA,NA,06/09,13/09,20/09,27/09,04/10,11/10,18/10,25/10,01/11,08/11,15/11,22/11,29/11,6/12,13/12,20/12,27/12,Notes
Species,Turtle Dove,1992,,,,,NA,,,,,,,,,,,,,O,1R,1R,,,O,,U,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Long-Eared Owl,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Swift,1992,,,,,NA,,,,,,,,,,,,,,U*,C,A,A,A,A,A,A,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,"*""4/5"""
Species,Kingfisher,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Skylark,1992,,,,O,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,U,U,,O,,,
Species,Sand Martin,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Swallow,1992,,,,,NA,,,,,,,,,,,,C*,C,A,A,A,A,A,,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,C,U,F10,,,,F30**,,,,,,,,,,,"*""21/4"" & **""13/10"""
Species,House Martin,1992,,,,,NA,,,,,,,,,,,,,O*,O,O,U,F,C,,U,C,F,NA,NA,NA,NA,NA,NA,NA,NA,O,,,,,,,,,,,,,,,,,"*""3/5"""
Species,Meadow Pipit,1992,C,C,A,A,NA,A,C,C,C,C,C,C,C,F,C,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,F,U,U,C,C,C,U,C,C,C,C,C,C,C,C,
Species,Grey Wagtail,1992,U,U,,O,NA,,O,,O,O,,F,F,F,2R,2R,2R,2R,2R*,2R*,2R,2R,2R,2R**,U,,,NA,NA,NA,NA,NA,NA,NA,NA,U,,U,O,U,U,U,U,U,2R,2R,2R,O,,,O,U,"*""young""  & **""nest in courtyard"""
Species,Pied Wagtail,1992,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,
Species,Wren,1992,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Dunnock,1992,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Robin,1992,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A*,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,"*""3 hatched in courtyard"""
Species,Black Redstart,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Whinchat,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Stonechat,1992,,,,,NA,,,,O,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,2,,,,,,,,,,,,,,,
Species,Wheatear,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Blackbird,1992,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Fieldfare,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Song Thrush,1992,U,U,F,F,NA,C,F,F,F,F,F,F,F,F,C,C,C,F,F,C,C,C,C,U,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,U,U,U,C,C,U,U,U,U,U,U,U,U,U,F,,,
Species,Redwing,1992,F,,F,F,NA,F3,cF14,O,O*,F12,F12,,O,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,2,,F4,O,F,,,"*""singing"""
Species,Mistle Thrush,1992,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,F,U,C,C,C,C,C,C,F,U,NA,NA,NA,NA,NA,NA,NA,NA,A,,,C,C,U,F,F,F,C,F,F,F,F,F,F,F,
Species,Whitethroat,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Black Cap,1992,,,,,NA,O,U,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Chiff Chaff,1992,,,,,NA,,,,,,,,,U*,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,2,,,,,,,,,,,,,,,"*""3rd & 4th"""
Species,Willow Warbler,1992,,,,,NA,,,,,,,,,,,O*,U*,U,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,O,,,,,,,,,,,,,,,,,"*""16/4"""
Species,Goldcrest,1992,U,U,U,,NA,,,U,,U,U,,U,U,U,U,U*,,U,,,,,,O,O,O,NA,NA,NA,NA,NA,NA,NA,NA,U,U,U,U,U,C,U,F,C,C,C,C,C,C,C,,,
Species,Spotted Flycatcher,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Long-Tailed Tit,1992,,F8,F3,F10,NA,,F3,,U,F,4,U,,,,,O,,,O,O,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,F12,,,,,,,2F9,F9,F12,2F10,,F6,,F9,
Species,Coal Tit,1992,U,U,U,U,NA,U,U,O,U,U,U,U,,U,U,U,U,U,,U,U,O,,U,U,U,U,NA,NA,NA,NA,NA,NA,NA,NA,U,U,U,U,U,C,U,U,U,C,C,U,F,F,U,U,U,
Species,Blue Tit,1992,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Great Tit,1992,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Tree Creeper,1992,,O,,,NA,,,,,2,,O,,O,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,2,,,,,,,,
Species,Jay,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Magpie,1992,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Jackdaw,1992,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A*,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,"*""26 nests"""
Species,Rook,1992,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A*,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,"*""26 nests"""
Species,Hooded Crow,1992,C,C,C,C,NA,C,C,C,C,C,C,C,F,,F,C,U,U,F,F,F,U,U,U,U,U,U,NA,NA,NA,NA,NA,NA,NA,NA,U,U,U,F,U,U,U,U,,O,F,U,U,F,F,F,F,
Species,Starling,1992,A,A,A,,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,House Sparrow,1992,,,U,U,NA,,,,,,,,,U,,U,U,C,C,F,,U,U,U,O,,U,NA,NA,NA,NA,NA,NA,NA,NA,U,,,U,,,F20,,U,,,,,,O,,,
Species,Tree Sparrow,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Chaffinch,1992,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,A,C,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Brambling,1992,1R,1R,1R,1R,NA,O,2,,2,O,2F5,4,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Greenfinch,1992,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Goldfinch,1992,F,F,F,,NA,C,C,,F,C,,C,F,F,O,,U,O,U,F5,,,,F,U,O,,NA,NA,NA,NA,NA,NA,NA,NA,,U,C,A,,,C,U,,F,,U,,,U,,,
Species,Siskin,1992,,F8,F3,,NA,,F5,F3,F5,,,F4,F5,O,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Linnet,1992,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,C,C,C,,O,,O,,U,,,,NA,NA,NA,NA,NA,NA,NA,NA,C,F,F,C,C,C,C,C,C,C,A,A,A,A,A,A,A,
Species,Twite,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Redpoll,1992,,F3,U,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,F10,,,,,F7,
Species,Bullfinch,1992,,,,O,NA,,,,,U,U,,,,,,,O,U,,,U,,,,O,O,NA,NA,NA,NA,NA,NA,NA,NA,,,,U,,,,,F,F,U,,,,,,,
Species,Yellow Hammer,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Reed Bunting,1992,C,C,C,C,NA,U,F,C,C,U,U,O,,U,U,O,U,U,U,O,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,O,,,,O,O,O,O,,,F,U,U,U,O,U,,
Species,Golden Eye,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Dunlin,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Waxwing,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Peregrine Falcon,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
